UniProtKB	Q8NNV2	Cgl2078		PMID:19372162IF: 3.5 Q2 	EXP		P	ABC-type transporter, ATPase component and permease component		protein	NCBITaxon:196627	20170328	CollecTF			GO:0009432	SOS response
UniProtKB	Q8NNK8	pimB		PMID:19395496IF: 3.0 Q3 	IDA		F	GDP-mannose-dependent monoacylated alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	Cgl2186|cg2400	protein	NCBITaxon:196627	20110815	UniProt			GO:0043750	phosphatidylinositol alpha-mannosyltransferase activity
UniProtKB	Q8NNK8	pimB		PMID:19395496IF: 3.0 Q3 	IDA		F	GDP-mannose-dependent monoacylated alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	Cgl2186|cg2400	protein	NCBITaxon:196627	20110815	UniProt			GO:0033164	initiation-specific glycolipid 1,6-alpha-mannosyltransferase activity
UniProtKB	Q8NNK8	pimB		PMID:19395496IF: 3.0 Q3 	IDA		P	GDP-mannose-dependent monoacylated alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	Cgl2186|cg2400	protein	NCBITaxon:196627	20110815	UniProt			GO:0009247	glycolipid biosynthetic process
UniProtKB	Q8NNK6	Cgl2188		GO_REF:0000024	ISS	UniProtKB:A4QFQ3	C	Probable endopeptidase Cgl2188	cg2402	protein	NCBITaxon:196627	20101001	UniProt			GO:0005576	extracellular region
UniProtKB	Q8NNH3	Cgl2230		PMID:19372162IF: 3.5 Q2 	EXP		P	DUF2786 domain-containing protein		protein	NCBITaxon:196627	20170328	CollecTF			GO:0009432	SOS response
UniProtKB	Q8NNC4	Cgl2280		PMID:23061624IF: 4.2 Q2 	IPI	RefSeq:NC_009342.1	C	Fe2+/Zn2+ uptake regulation proteins		protein	NCBITaxon:196627	20170328	CollecTF			GO:0032993	protein-DNA complex
UniProtKB	Q8NNC4	Cgl2280		PMID:23061624IF: 4.2 Q2 	IPI	RefSeq:NC_009342.1	F	Fe2+/Zn2+ uptake regulation proteins		protein	NCBITaxon:196627	20170328	CollecTF			GO:0001217	DNA-binding transcription repressor activity
UniProtKB	Q8NNC4	Cgl2280		PMID:23061624IF: 4.2 Q2 	IPI	RefSeq:NC_009342.1	F	Fe2+/Zn2+ uptake regulation proteins		protein	NCBITaxon:196627	20170328	CollecTF			GO:0000976	transcription cis-regulatory region binding
UniProtKB	Q8NNC4	Cgl2280		PMID:20055984IF: 3.7 Q2 	EXP		P	Fe2+/Zn2+ uptake regulation proteins		protein	NCBITaxon:196627	20170328	CollecTF			GO:0045892	negative regulation of DNA-templated transcription
UniProtKB	Q8NNC4	Cgl2280		PMID:23061624IF: 4.2 Q2 	EXP		P	Fe2+/Zn2+ uptake regulation proteins		protein	NCBITaxon:196627	20170328	CollecTF			GO:0045892	negative regulation of DNA-templated transcription
UniProtKB	Q8NNC4	Cgl2280		PMID:20055984IF: 3.7 Q2 	IMP		C	Fe2+/Zn2+ uptake regulation proteins		protein	NCBITaxon:196627	20170328	CollecTF			GO:0032993	protein-DNA complex
UniProtKB	Q8NNC4	Cgl2280		PMID:20055984IF: 3.7 Q2 	IMP		F	Fe2+/Zn2+ uptake regulation proteins		protein	NCBITaxon:196627	20170328	CollecTF			GO:0001217	DNA-binding transcription repressor activity
