regulator,gene_id,effect
Cobalamin,WA5_RS02685,
Cobalamin,WA5_RS02690,
Cobalamin,WA5_RS02695,
Cobalamin,WA5_RS02700,
Cobalamin,WA5_RS02705,
FMN,WA5_RS00350,
L10_leader,WA5_RS02485,
L10_leader,WA5_RS02490,
PyrR,WA5_RS08025,
PyrR,WA5_RS08030,
PyrR,WA5_RS08035,
PyrR,WA5_RS08040,
PyrR,WA5_RS08045,
PyrR,WA5_RS08050,
S15,WA5_RS09845,
T-box,WA5_RS10680,
TPP,WA5_RS10145,
TPP,WA5_RS10150,
TPP,WA5_RS10155,
TPP,WA5_RS10160,
TPP,WA5_RS10165,
TPP,WA5_RS06500,
TPP,WA5_RS07310,
TPP,WA5_RS07315,
TPP,WA5_RS03585,
TPP,WA5_RS05370,
TPP,WA5_RS05375,
TPP,WA5_RS05380,
TPP,WA5_RS05385,
WA5_RS00045,WA5_RS06090,A
WA5_RS00045,WA5_RS06085,A
WA5_RS00045,WA5_RS06080,A
WA5_RS00045,WA5_RS06075,A
WA5_RS00045,WA5_RS05065,A
WA5_RS00045,WA5_RS05060,A
WA5_RS00045,WA5_RS05055,A
WA5_RS00045,WA5_RS05050,A
WA5_RS00045,WA5_RS05030,A
WA5_RS00085,WA5_RS00080,A
WA5_RS00200,WA5_RS00215,A
WA5_RS00200,WA5_RS00210,A
WA5_RS00200,WA5_RS00205,A
WA5_RS00375,WA5_RS14125,A
WA5_RS00375,WA5_RS14120,A
WA5_RS00375,WA5_RS14115,A
WA5_RS00375,WA5_RS00375,
WA5_RS00375,WA5_RS00370,
WA5_RS00375,WA5_RS00365,A
WA5_RS00460,WA5_RS00495,R
WA5_RS00460,WA5_RS00490,R
WA5_RS00460,WA5_RS00485,R
WA5_RS00460,WA5_RS00480,R
WA5_RS00460,WA5_RS00475,R
WA5_RS00460,WA5_RS00470,R
WA5_RS00460,WA5_RS00465,R
WA5_RS00605,WA5_RS14040,R
WA5_RS00605,WA5_RS01525,A
WA5_RS00605,WA5_RS00610,R
WA5_RS00605,WA5_RS00605,R
WA5_RS00605,WA5_RS00600,R
WA5_RS00605,WA5_RS00595,R
WA5_RS00605,WA5_RS00590,R
WA5_RS00655,WA5_RS16475,A
WA5_RS00655,WA5_RS15275,A
WA5_RS00655,WA5_RS15270,A
WA5_RS00655,WA5_RS15265,A
WA5_RS00655,WA5_RS15260,A
WA5_RS00655,WA5_RS14185,R
WA5_RS00655,WA5_RS14180,R
WA5_RS00655,WA5_RS14090,A
WA5_RS00655,WA5_RS14085,A
WA5_RS00655,WA5_RS14080,A
WA5_RS00655,WA5_RS14075,A
WA5_RS00655,WA5_RS14070,A
WA5_RS00655,WA5_RS14065,A
WA5_RS00655,WA5_RS14060,A
WA5_RS00655,WA5_RS12735,R
WA5_RS00655,WA5_RS00045,A
WA5_RS00825,WA5_RS14325,R
WA5_RS00825,WA5_RS05565,R
WA5_RS00825,WA5_RS00945,R
WA5_RS00825,WA5_RS00900,R
WA5_RS00825,WA5_RS00895,R
WA5_RS00825,WA5_RS00890,R
WA5_RS00825,WA5_RS00875,R
WA5_RS00825,WA5_RS00870,R
WA5_RS00825,WA5_RS00865,R
WA5_RS00825,WA5_RS00860,R
WA5_RS00825,WA5_RS00855,R
WA5_RS00825,WA5_RS00850,R
WA5_RS00825,WA5_RS00845,R
WA5_RS00825,WA5_RS00840,R
WA5_RS00825,WA5_RS00835,R
WA5_RS00825,WA5_RS00830,R
WA5_RS00825,WA5_RS00825,R
WA5_RS00890,WA5_RS00900,R
WA5_RS00890,WA5_RS00895,R
WA5_RS00890,WA5_RS00890,R
WA5_RS00910,WA5_RS11595,R
WA5_RS01340,WA5_RS10900,A
WA5_RS01340,WA5_RS10895,A
WA5_RS01340,WA5_RS10890,A
WA5_RS01340,WA5_RS10885,A
WA5_RS01340,WA5_RS07850,A
WA5_RS01340,WA5_RS07835,A
WA5_RS01340,WA5_RS05725,A
WA5_RS01340,WA5_RS05720,A
WA5_RS01340,WA5_RS05715,A
WA5_RS01340,WA5_RS05710,A
WA5_RS01355,WA5_RS01365,A
WA5_RS01355,WA5_RS01360,A
WA5_RS01355,WA5_RS01355,A
WA5_RS01375,WA5_RS15730,
WA5_RS01375,WA5_RS07550,R
WA5_RS01375,WA5_RS07545,R
WA5_RS01375,WA5_RS07540,R
WA5_RS01375,WA5_RS01385,R
WA5_RS01375,WA5_RS01380,R
WA5_RS01375,WA5_RS01375,
WA5_RS01470,WA5_RS15490,R
WA5_RS01470,WA5_RS15485,R
WA5_RS01470,WA5_RS15480,R
WA5_RS01470,WA5_RS15410,R
WA5_RS01470,WA5_RS10605,R
WA5_RS01470,WA5_RS05330,R
WA5_RS01470,WA5_RS05325,R
WA5_RS01470,WA5_RS05320,R
WA5_RS01470,WA5_RS05315,R
WA5_RS01470,WA5_RS01745,R
WA5_RS01495,WA5_RS01515,R
WA5_RS01495,WA5_RS01510,R
WA5_RS01495,WA5_RS01505,R
WA5_RS01495,WA5_RS01500,R
WA5_RS01495,WA5_RS01490,R
WA5_RS01495,WA5_RS01485,R
WA5_RS01525,WA5_RS16330,R
WA5_RS01525,WA5_RS15350,R
WA5_RS01525,WA5_RS15345,R
WA5_RS01525,WA5_RS15340,R
WA5_RS01525,WA5_RS15335,R
WA5_RS01525,WA5_RS15330,R
WA5_RS01525,WA5_RS15305,A
WA5_RS01525,WA5_RS15175,R
WA5_RS01525,WA5_RS15170,R
WA5_RS01525,WA5_RS15165,R
WA5_RS01525,WA5_RS15160,R
WA5_RS01525,WA5_RS15155,R
WA5_RS01525,WA5_RS15150,R
WA5_RS01525,WA5_RS14950,R
WA5_RS01525,WA5_RS14880,R
WA5_RS01525,WA5_RS14875,R
WA5_RS01525,WA5_RS14870,R
WA5_RS01525,WA5_RS14865,R
WA5_RS01525,WA5_RS14855,R
WA5_RS01525,WA5_RS14705,R
WA5_RS01525,WA5_RS14590,R
WA5_RS01525,WA5_RS14585,R
WA5_RS01525,WA5_RS14570,R
WA5_RS01525,WA5_RS14565,R
WA5_RS01525,WA5_RS14560,R
WA5_RS01525,WA5_RS14555,A
WA5_RS01525,WA5_RS14550,R
WA5_RS01525,WA5_RS14545,R
WA5_RS01525,WA5_RS14540,R
WA5_RS01525,WA5_RS14535,R
WA5_RS01525,WA5_RS14435,R
WA5_RS01525,WA5_RS14330,R
WA5_RS01525,WA5_RS14325,R
WA5_RS01525,WA5_RS14125,R
WA5_RS01525,WA5_RS14120,R
