,ERR2936697,ERR2936701,ERR2936707,ERR2936698,ERR2936702,ERR2936708,ERR2936699,ERR2936703,ERR2936709,ERR2936700,ERR2936704,ERR2936710
ArgR,3.947502095,3.562667283,3.497724184,0.461594583,-0.106875524,0.008788784,-1.968143583,-1.752385201,-2.490297341,-1.331430592,-1.807604444,-2.021540245
ArsR,1.803733394,1.213060885,1.857130516,0.659714267,0.420818902,0.534103328,-0.38344652,0.109309947,0.33425863,-1.036113543,-1.208689731,-1.235673418
Signal-transduction,1.137904289,1.403566016,1.828285286,1.395192974,1.46156183,0.169546898,-0.877007558,-0.642440009,-0.541342917,-1.951268687,-1.622116366,-1.761881756
cell-membrane-1,1.235416728,1.274843707,3.22870755,1.972389071,1.089378103,1.039239157,0.718249673,0.743052564,1.512214835,-5.006997975,-4.173443161,-3.633050253
ripA,1.557935684,1.831012879,1.35985534,1.912861615,1.583861344,0.021181374,-0.037618314,0.069017775,0.214745242,-3.047630685,-2.564249039,-2.900973216
AmtR,1.943018162,2.216415242,1.59813795,1.153555413,0.543126173,-0.409891498,-1.733645496,-2.023264837,-1.691898437,-0.480770404,0.009781636,-1.124563904
redox-related,0.813138983,0.578645475,0.650709516,0.590137774,0.014465904,0.089389721,-0.350425098,-0.355826098,-0.460106671,-0.789934294,-0.631248774,-0.648946438
lipid-metabolism,1.003430696,0.960371868,1.271390585,0.16298956,0.357686292,-0.721606046,-0.565338849,-0.918940626,-0.798582584,-0.597873694,0.180441148,-0.33396835
sigC,3.508585522,3.328013775,0.545410641,2.102229875,1.124657372,-0.933896062,-0.938494644,-1.060032604,-1.000100719,-2.385369219,-1.537407671,-2.753596268
proline-transport,0.860117946,1.007856465,0.933930524,0.767293893,0.047154395,-0.529157565,0.316690817,0.239435313,-0.152399152,-0.926101606,-1.200994325,-1.363826704
Growth-related,-0.60565873,-1.204731626,-0.836503663,-1.400578865,-0.913926697,-0.423673994,-0.486555223,1.384310171,2.820707506,0.2069614,0.847900609,0.611749112
IolR,-2.122148948,-1.525335282,-2.335666102,-1.310580059,-1.263488732,-0.057161003,0.584428896,1.361234447,1.551326853,1.311327766,1.961382032,1.844680133
sigD-operon,-2.158228474,-2.226600646,-2.017187411,-0.673753336,-0.232758901,0.245687693,1.39571464,1.641782102,2.3461488,0.94418876,0.440467546,0.294539227
PdxR,-2.712910088,-2.440015833,-1.957171965,-2.410527118,-0.919865348,0.435695106,1.944840929,1.599064047,1.375069239,1.257124809,1.508682854,2.320013368
polyketide-synthase,-1.795877642,-1.97239565,-3.074775908,-1.062261544,-1.640548105,0.440312673,2.243988567,2.560481577,2.297041726,0.246375727,0.32707758,1.430581
translation-related,-2.149373927,-0.855649743,-0.618944529,-1.802652763,-0.131706443,0.568207026,0.034896518,1.155592511,1.368921918,1.118030885,1.269837439,0.042841108
HutC,-4.039918357,-3.761272678,-3.585361113,-0.487120739,0.176972529,1.245969333,1.445276957,2.051386085,2.010599423,1.593733456,1.545410748,1.804324356
mepA-deletion,-3.359380903,-2.513617339,-3.143365639,-1.476308445,-1.31604065,0.980460723,1.736378512,1.99581522,2.254067736,1.423459163,1.687467482,1.731064139
TcsR,-4.584182575,-0.873833972,-2.704430528,-3.906180866,1.805691306,2.751908233,1.62978879,2.936061965,1.954447198,-0.347184544,1.796468604,-0.458553612
Cg3249,-2.799793727,-1.571844901,-1.100351803,0.133843328,1.364756998,1.093858104,0.585570091,0.139032549,0.242212588,0.3737623,0.1870427,1.351911772
FruR-NanR,-3.750350269,-3.827880803,-3.384484482,-4.144105106,-4.493472108,-0.426616924,3.894567963,4.43965798,4.36143934,2.085062199,1.979180179,3.26700203
RbsR,-1.821703443,-1.448539112,-4.932917566,-3.274213345,-3.865442936,6.183058807,2.894304842,1.116664639,0.216984196,1.328364622,2.249216021,1.354223276
Replication-3,-7.670841102,-10.31295415,-9.015867718,1.572841503,-1.233163906,-5.048392219,8.957439175,6.037123237,4.941312578,5.391209678,2.264381221,4.116911703
Zur,-11.40780972,-10.9007704,-10.96471724,-10.5192147,-9.818995189,5.732871769,6.280902571,6.302501328,4.59929276,10.32377983,10.11817143,10.25398757
Cg1084,-6.708133945,-6.345691027,-4.60725791,-7.278085302,2.022854643,0.477643289,1.493285758,2.817868711,2.796130933,1.618596321,4.048617552,0.972788923
DtxR,-10.87017194,-10.78737041,-9.876020098,-8.013017395,-7.191379677,1.309985936,2.516168211,0.066520011,2.68853793,10.15310238,9.18953232,9.191188594
