,gene_id,database,kegg_id
1878,WA5_RS00005,KEGG_Pathway,map02020
1879,WA5_RS00005,KEGG_Pathway,map04112
1886,WA5_RS00010,KEGG_Pathway,map00230
1887,WA5_RS00010,KEGG_Pathway,map00240
1888,WA5_RS00010,KEGG_Pathway,map01100
1889,WA5_RS00010,KEGG_Pathway,map03030
1890,WA5_RS00010,KEGG_Pathway,map03430
1891,WA5_RS00010,KEGG_Pathway,map03440
1893,WA5_RS00015,KEGG_Pathway,map03440
1899,WA5_RS00115,KEGG_Pathway,map00230
1900,WA5_RS00115,KEGG_Pathway,map00240
1901,WA5_RS00115,KEGG_Pathway,map00760
1902,WA5_RS00115,KEGG_Pathway,map01100
1903,WA5_RS00115,KEGG_Pathway,map01110
1909,WA5_RS00120,KEGG_Pathway,map00230
1910,WA5_RS00120,KEGG_Pathway,map00240
1911,WA5_RS00120,KEGG_Pathway,map00760
1912,WA5_RS00120,KEGG_Pathway,map01100
1913,WA5_RS00120,KEGG_Pathway,map01110
1915,WA5_RS00145,KEGG_Pathway,map03440
1918,WA5_RS00190,KEGG_Pathway,map01503
1919,WA5_RS00190,KEGG_Pathway,map04217
1921,WA5_RS00205,KEGG_Pathway,map02010
1923,WA5_RS00210,KEGG_Pathway,map02010
1925,WA5_RS00235,KEGG_Pathway,map00550
1927,WA5_RS00240,KEGG_Pathway,map04112
1935,WA5_RS00280,KEGG_Pathway,map00250
1936,WA5_RS00280,KEGG_Pathway,map00310
1937,WA5_RS00280,KEGG_Pathway,map00350
1938,WA5_RS00280,KEGG_Pathway,map00650
1939,WA5_RS00280,KEGG_Pathway,map00760
1940,WA5_RS00280,KEGG_Pathway,map01100
1941,WA5_RS00280,KEGG_Pathway,map01120
1948,WA5_RS00285,KEGG_Pathway,map00253
1949,WA5_RS00285,KEGG_Pathway,map00623
1950,WA5_RS00285,KEGG_Pathway,map00627
1951,WA5_RS00285,KEGG_Pathway,map01057
1952,WA5_RS00285,KEGG_Pathway,map01120
1953,WA5_RS00285,KEGG_Pathway,map01130
1955,WA5_RS00290,KEGG_Pathway,map00620
1958,WA5_RS00390,KEGG_Pathway,map00780
1959,WA5_RS00390,KEGG_Pathway,map01100
1963,WA5_RS00425,KEGG_Pathway,map00240
1964,WA5_RS00425,KEGG_Pathway,map00330
1965,WA5_RS00425,KEGG_Pathway,map01100
1968,WA5_RS00445,KEGG_Pathway,map00561
1969,WA5_RS00445,KEGG_Pathway,map01100
1972,WA5_RS00450,KEGG_Pathway,map00561
1973,WA5_RS00450,KEGG_Pathway,map01100
1980,WA5_RS00465,KEGG_Pathway,map00220
1981,WA5_RS00465,KEGG_Pathway,map00230
1982,WA5_RS00465,KEGG_Pathway,map00791
1983,WA5_RS00465,KEGG_Pathway,map01100
1984,WA5_RS00465,KEGG_Pathway,map01120
1985,WA5_RS00465,KEGG_Pathway,map05120
1992,WA5_RS00470,KEGG_Pathway,map00220
1993,WA5_RS00470,KEGG_Pathway,map00230
1994,WA5_RS00470,KEGG_Pathway,map00791
1995,WA5_RS00470,KEGG_Pathway,map01100
1996,WA5_RS00470,KEGG_Pathway,map01120
1997,WA5_RS00470,KEGG_Pathway,map05120
2004,WA5_RS00475,KEGG_Pathway,map00220
2005,WA5_RS00475,KEGG_Pathway,map00230
2006,WA5_RS00475,KEGG_Pathway,map00791
2007,WA5_RS00475,KEGG_Pathway,map01100
2008,WA5_RS00475,KEGG_Pathway,map01120
2009,WA5_RS00475,KEGG_Pathway,map05120
2023,WA5_RS00515,KEGG_Pathway,map04141
2024,WA5_RS00515,KEGG_Pathway,map04151
2025,WA5_RS00515,KEGG_Pathway,map04217
2026,WA5_RS00515,KEGG_Pathway,map04612
2027,WA5_RS00515,KEGG_Pathway,map04621
2028,WA5_RS00515,KEGG_Pathway,map04626
2029,WA5_RS00515,KEGG_Pathway,map04657
2030,WA5_RS00515,KEGG_Pathway,map04659
2031,WA5_RS00515,KEGG_Pathway,map04914
2032,WA5_RS00515,KEGG_Pathway,map04915
2033,WA5_RS00515,KEGG_Pathway,map05200
2034,WA5_RS00515,KEGG_Pathway,map05215
2035,WA5_RS00515,KEGG_Pathway,map05418
2037,WA5_RS00520,KEGG_Pathway,map00230
2043,WA5_RS00525,KEGG_Pathway,map00630
2044,WA5_RS00525,KEGG_Pathway,map01100
2045,WA5_RS00525,KEGG_Pathway,map01110
2046,WA5_RS00525,KEGG_Pathway,map01120
2047,WA5_RS00525,KEGG_Pathway,map01200
2053,WA5_RS00530,KEGG_Pathway,map00630
2054,WA5_RS00530,KEGG_Pathway,map01100
2055,WA5_RS00530,KEGG_Pathway,map01110
2056,WA5_RS00530,KEGG_Pathway,map01120
2057,WA5_RS00530,KEGG_Pathway,map01200
2063,WA5_RS00540,KEGG_Pathway,map00250
2064,WA5_RS00540,KEGG_Pathway,map00330
2065,WA5_RS00540,KEGG_Pathway,map01100
2066,WA5_RS00540,KEGG_Pathway,map01110
2067,WA5_RS00540,KEGG_Pathway,map01130
2069,WA5_RS00595,KEGG_Pathway,map00051
2072,WA5_RS00610,KEGG_Pathway,map00040
2073,WA5_RS00610,KEGG_Pathway,map01100
2078,WA5_RS00615,KEGG_Pathway,map00410
2079,WA5_RS00615,KEGG_Pathway,map00770
2080,WA5_RS00615,KEGG_Pathway,map01100
2081,WA5_RS00615,KEGG_Pathway,map01110
2085,WA5_RS00620,KEGG_Pathway,map00770
2086,WA5_RS00620,KEGG_Pathway,map01100
2087,WA5_RS00620,KEGG_Pathway,map01110
2089,WA5_RS00630,KEGG_Pathway,map03410
2094,WA5_RS00720,KEGG_Pathway,map00410
2095,WA5_RS00720,KEGG_Pathway,map00770
2096,WA5_RS00720,KEGG_Pathway,map01100
2097,WA5_RS00720,KEGG_Pathway,map01110
2099,WA5_RS00765,KEGG_Pathway,map03410
2104,WA5_RS00810,KEGG_Pathway,map04614
2105,WA5_RS00810,KEGG_Pathway,map04640
2106,WA5_RS00810,KEGG_Pathway,map04974
2107,WA5_RS00810,KEGG_Pathway,map05010
2111,WA5_RS00830,KEGG_Pathway,map00562
