,Experiment,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,R1,R2,project,condition,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,treatment,temperature,pH,OD,growth_phase,culture_type,skip
ERR1799216,ERX1862757,7715349,786965598,7715349,102,303,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/799/ERR1799216.sralite.1,Corynebacterium glutamicum ATCC13032_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,180,50,ILLUMINA,Illumina HiSeq 1500,ERP021044,PRJEB19056,,369143,ERS1506721,SAMEA51454918,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA51454918,,,,,,,no,,,,,Anika Wnikler,ERA789697,,public,80BC3CF8BEF13D98AD55C8C8D9B89606,12D586350CA64F133D2FDC464812BDDC,,,sigD,WT,WT,ATCC13032,CGXII,glucose(222mM),,,,30℃,7.0,,mid-exponential,,
ERR1799217,ERX1862758,7925545,808405590,7925545,102,312,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR001/1799/ERR1799217/ERR1799217.lite.2,Corynebacterium glutamicum DELTA SigD_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,178,50,ILLUMINA,Illumina HiSeq 1500,ERP021044,PRJEB19056,,369143,ERS1506722,SAMEA51455668,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA51455668,,,,,,,no,,,,,Anika Wnikler,ERA789697,,public,CEACCF24C61BA7FB67952FF31A0ED64D,0C6E5C7DCF2C98F0FB24E34207C8D651,,,sigD,DEL-sigD,DEL-sigD,ATCC13032,CGXII,glucose(222mM),,,,30℃,7.0,,mid-exponential,,
ERR1799218,ERX1862759,8138573,830134446,8138573,102,317,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR001/1799/ERR1799218/ERR1799218.lite.2,Corynebacterium glutamicum pVWx-minus_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,180,50,ILLUMINA,Illumina HiSeq 1500,ERP021044,PRJEB19056,,369143,ERS1506723,SAMEA51456418,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA51456418,,,,,,,no,,,,,Anika Wnikler,ERA789697,,public,B9AEDB924B78CD8F84147407579EBFE0,354EEE454F5341374BE86EF4B258E538,,,sigD,pVWEx1-sigD,WT_pVWx_sigD,ATCC13032,CGXII,glucose(222mM),,,,30℃,7.0,,mid-exponential,,
ERR2401409,ERX2442263,3122219,468332850,3122219,150,197,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/401/ERR2401409.sralite.1,JL-3h-2-Stuttgart_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,200,100,ILLUMINA,Illumina MiSeq,ERP107501,PRJEB25572,,448321,ERS2294413,SAMEA104693030,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA104693030,,,,,,,no,,,,,Tobias Busche,ERA1246098,,public,22DC93AB1BCE3FB7BFA3728B51CC492E,749DA51F2C989F94C3E9A7011908DB63,,,altering-oxygen,JL-3h-2-Stuttgart,JL-3h-2-Stuttgart,ATCC13032,CGXII,glucose,,,,30℃,7.4,,3h,,
ERR2401410,ERX2442264,3507450,526117500,3507450,150,219,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2401/ERR2401410/ERR2401410.lite.2,JL-5h-4-Stuttgart_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,200,100,ILLUMINA,Illumina MiSeq,ERP107501,PRJEB25572,,448321,ERS2294414,SAMEA104693031,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA104693031,,,,,,,no,,,,,Tobias Busche,ERA1246098,,public,DB64B8B5DCA285DF933FE1E01BFCC851,FF719D109132B78357CD2690D411771D,,,altering-oxygen,JL-5h-2-Stuttgart,JL-5h-2-Stuttgart,ATCC13032,CGXII,glucose,,,,30℃,7.4,,5h,,
ERR2401411,ERX2442265,3480997,522149550,3480997,150,218,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/401/ERR2401411.sralite.1,JL-7h-7-Stuttgart_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,200,100,ILLUMINA,Illumina MiSeq,ERP107501,PRJEB25572,,448321,ERS2294415,SAMEA104693032,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA104693032,,,,,,,no,,,,,Tobias Busche,ERA1246098,,public,33654777C51C6B17EDFA3772A4801A4A,FAA84F39EAC3966653B853402D4142B7,,,altering-oxygen,JL-7h-2-Stuttgart,JL-7h-2-Stuttgart,ATCC13032,CGXII,glucose,,,,30℃,7.4,,7h,,
ERR2401412,ERX2442266,3981509,597226350,3981509,150,250,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR002/2401/ERR2401412/ERR2401412.lite.2,JL-9h-16-Stuttgart_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,200,100,ILLUMINA,Illumina MiSeq,ERP107501,PRJEB25572,,448321,ERS2294416,SAMEA104693033,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA104693033,,,,,,,no,,,,,Tobias Busche,ERA1246098,,public,4028EF05A8FB9DA35E9E10648473F92D,B55B9319FA80578215588B1138BFE79D,,,altering-oxygen,JL-9h-2-Stuttgart,JL-9h-2-Stuttgart,ATCC13032,CGXII,glucose,,,,30℃,7.4,,9h,,
ERR2401413,ERX2442267,3887576,583136400,3887576,150,242,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2401/ERR2401413/ERR2401413.lite.2,JL-11h-18-Stuttgart_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,200,100,ILLUMINA,Illumina MiSeq,ERP107501,PRJEB25572,,448321,ERS2294417,SAMEA104693034,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA104693034,,,,,,,no,,,,,Tobias Busche,ERA1246098,,public,0AE345CC8D245456E2CDA9C306B0FAF9,10BB606904D62E524B8D6D84F602531B,,,altering-oxygen,JL-11h-2-Stuttgart,JL-11h-2-Stuttgart,ATCC13032,CGXII,glucose,,,,30℃,7.4,,11h,,
ERR2401414,ERX2442268,3373002,505950300,3373002,150,213,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2401/ERR2401414/ERR2401414.lite.2,JL-13h-27-Stuttgart_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,200,100,ILLUMINA,Illumina MiSeq,ERP107501,PRJEB25572,,448321,ERS2294418,SAMEA104693035,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA104693035,,,,,,,no,,,,,Tobias Busche,ERA1246098,,public,0464F08EE0AF2C59FEFADE6EB9763609,3FD7D694D6285BB28B3C15EBBEB317AB,,,altering-oxygen,JL-13h-2-Stuttgart,JL-13h-2-Stuttgart,ATCC13032,CGXII,glucose,,,,30℃,7.4,,13h,,
ERR2601590,ERX2618246,5502820,415795482,0,75,158,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601590/ERR2601590.sralite.1,Sample 1_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517229,SAMEA4697055,simple,1718,Corynebacterium glutamicum,SAMEA4697055,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,8747AC6DDAA7A56AFC248C1C98383665,8511AF2F992B81B794EA9AEAB9F43B27,,,prophage-induced-subpopulations,unsorted_1_0uM_S1_L001_R1,unsorted_1_0uM_S1_L001_R1,ATCC13032,,,,,,,,,,,
