locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
WA5_RS00005,dnaA,NC_020519.1,WA5_0001,1.0,1575.0,+,chromosomal replication initiator protein DnaA,"Replication, recombination and repair",A0A0U4QE26,Op0
WA5_RS00010,dnaN,NC_020519.1,WA5_0002,2292.0,3476.0,+,DNA polymerase III subunit beta,"Replication, recombination and repair",A0A1B4WGU6,Op0
WA5_RS00015,recF,NC_020519.1,WA5_0003,3585.0,4769.0,+,DNA replication/repair protein RecF,"Replication, recombination and repair",Q6M8X7,Op1
WA5_RS00020,WA5_RS00020,NC_020519.1,WA5_0004,4766.0,5302.0,+,DUF721 domain-containing protein,Function unknown,R0HV81,Op1
WA5_RS00025,gyrB,NC_020519.1,WA5_0005,5435.0,7489.0,+,DNA topoisomerase (ATP-hydrolyzing) subunit B,"Replication, recombination and repair",A0A6L2RK64,Op2
WA5_RS00030,WA5_RS00030,NC_020519.1,WA5_0006,7923.0,8798.0,+,alpha/beta fold hydrolase,Function unknown,,Op3
WA5_RS00035,WA5_RS00035,NC_020519.1,WA5_0007,8795.0,9376.0,-,DUF6198 family protein,Function unknown,R0JMS5,Op4
WA5_RS00040,WA5_RS00040,,,,,,,No COG annotation,,
WA5_RS00045,ssuR,NC_020519.1,WA5_0009,10104.0,11177.0,-,transcriptional regulator SsuR,Transcription,,Op6
WA5_RS00050,WA5_RS00050,,,,,,,No COG annotation,,
WA5_RS00055,WA5_RS00055,,,,,,,No COG annotation,,
WA5_RS00060,gyrA,NC_020519.1,WA5_0012,11831.0,14401.0,+,DNA gyrase subunit A,"Replication, recombination and repair",R0JMR8,Op8
WA5_RS00065,WA5_RS00065,NC_020519.1,WA5_0013,14405.0,14749.0,+,DUF3566 domain-containing protein,Function unknown,A0A0S2T0Z9,Op8
WA5_RS00080,WA5_RS00080,NC_020519.1,WA5_0014,15206.0,16243.0,-,YeiH family protein,Inorganic ion transport and metabolism,Q6M8W7,Op9
WA5_RS00085,WA5_RS00085,NC_020519.1,WA5_0015,16314.0,17210.0,+,LysR family transcriptional regulator,Transcription,Q8NUC3,Op10
WA5_RS00090,WA5_RS00090,NC_020519.1,WA5_0016,17260.0,17673.0,+,SMI1/KNR4 family protein,No COG annotation,,Op11
WA5_RS00095,WA5_RS00095,NC_020519.1,WA5_0017,17857.0,18729.0,-,cytochrome c biogenesis CcdA family protein,"Post-translational modification, protein turnover, and chaperones",A0A7I8APN5,Op12
WA5_RS00100,WA5_RS00100,NC_020519.1,WA5_0018,18733.0,19479.0,-,DsbA family protein,"Post-translational modification, protein turnover, and chaperones",,Op12
WA5_RS00105,WA5_RS00105,NC_020519.1,WA5_0019,19705.0,20076.0,+,BlaI/MecI/CopY family transcriptional regulator,Transcription,Q8NUB9,Op13
WA5_RS00110,WA5_RS00110,NC_020519.1,WA5_0020,20073.0,21068.0,+,M56 family metallopeptidase,"Post-translational modification, protein turnover, and chaperones",Q8NUB8,Op13
WA5_RS15930,WA5_RS15930,NC_020519.1,,21071.0,21241.0,-,hypothetical protein,Function unknown,,Op14
WA5_RS00115,WA5_RS00115,NC_020519.1,WA5_0021,21564.0,22127.0,+,metallophosphoesterase,Nucleotide transport and metabolism,,Op15
WA5_RS00120,WA5_RS00120,NC_020519.1,WA5_0022,22164.0,23402.0,+,5'-nucleotidase C-terminal domain-containing protein,Nucleotide transport and metabolism,Q8NUB6,Op15
WA5_RS16110,WA5_RS16110,NC_020519.1,,23612.0,23779.0,-,hypothetical protein,"Replication, recombination and repair",,Op16
WA5_RS00140,WA5_RS00140,NC_020519.1,WA5_0023,24295.0,24732.0,+,organic hydroperoxide resistance protein,"Post-translational modification, protein turnover, and chaperones",Q8NUB5,Op17
WA5_RS00145,WA5_RS00145,NC_020519.1,WA5_0024,24882.0,26573.0,-,putative DNA binding domain-containing protein,Transcription,A0A1Q3DLC5,Op18
WA5_RS00150,WA5_RS00150,NC_020519.1,WA5_0025,26819.0,28099.0,-,zinc metallochaperone AztD,Function unknown,Q8NUB3,Op19
WA5_RS00155,WA5_RS00155,NC_020519.1,WA5_0026,28161.0,29117.0,-,metal ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Q8NUB2,Op20
WA5_RS00160,WA5_RS00160,NC_020519.1,WA5_0027,29114.0,29965.0,-,zinc ABC transporter permease AztB,Inorganic ion transport and metabolism,Q8NUB1,Op20
WA5_RS00165,WA5_RS00165,NC_020519.1,WA5_0028,29995.0,30654.0,+,zinc ABC transporter ATP-binding protein AztA,Inorganic ion transport and metabolism,Q8NUB0,Op21
WA5_RS00170,WA5_RS00170,NC_020519.1,WA5_0029,30697.0,31680.0,+,substrate-binding domain-containing protein,Carbohydrate transport and metabolism,,Op22
WA5_RS00175,WA5_RS00175,NC_020519.1,WA5_0030,31677.0,32702.0,+,ABC transporter permease,Carbohydrate transport and metabolism,R0HV04,Op22
WA5_RS00180,WA5_RS00180,NC_020519.1,WA5_0031,32699.0,33460.0,+,ATP-binding cassette domain-containing protein,Carbohydrate transport and metabolism,Q8NUA7,Op22
WA5_RS00185,WA5_RS00185,,,,,,,No COG annotation,,
WA5_RS00190,WA5_RS00190,NC_020519.1,WA5_0033,34366.0,34902.0,+,peptidylprolyl isomerase,"Post-translational modification, protein turnover, and chaperones",,Op24
