locus_tag	gene_name	accession	old_locus_tag	start	end	strand	gene_product	COG	uniprot	operon
WA5_RS00005	dnaA	NC_020519.1	WA5_0001	1	1575	+	chromosomal replication initiator protein DnaA	L	A0A0U4QE26	Op0
WA5_RS00010	dnaN	NC_020519.1	WA5_0002	2292	3476	+	DNA polymerase III subunit beta	L	A0A1B4WGU6	Op0
WA5_RS00015	recF	NC_020519.1	WA5_0003	3585	4769	+	DNA replication/repair protein RecF	L	Q6M8X7	Op1
WA5_RS00020	WA5_RS00020	NC_020519.1	WA5_0004	4766	5302	+	DUF721 domain-containing protein	S	R0HV81	Op1
WA5_RS00025	gyrB	NC_020519.1	WA5_0005	5435	7489	+	DNA topoisomerase (ATP-hydrolyzing) subunit B	L	A0A6L2RK64	Op2
WA5_RS00030	WA5_RS00030	NC_020519.1	WA5_0006	7923	8798	+	alpha/beta fold hydrolase	S		Op3
WA5_RS00035	WA5_RS00035	NC_020519.1	WA5_0007	8795	9376	-	DUF6198 family protein	S	R0JMS5	Op4
WA5_RS00040	WA5_RS00040	NC_020519.1	WA5_0008	9471	9914	-	hypothetical protein	-	Q8NUD0	Op5
WA5_RS00045	ssuR	NC_020519.1	WA5_0009	10104	11177	-	transcriptional regulator SsuR	K		Op6
WA5_RS00050	WA5_RS00050	NC_020519.1	WA5_0010	11260	11523	-	hypothetical protein	-	R0JJ30	Op7
WA5_RS00055	WA5_RS00055	NC_020519.1	WA5_0011	11520	11729	-	hypothetical protein	-	A0A0S2T8N4	Op7
WA5_RS00060	gyrA	NC_020519.1	WA5_0012	11831	14401	+	DNA gyrase subunit A	L	R0JMR8	Op8
WA5_RS00065	WA5_RS00065	NC_020519.1	WA5_0013	14405	14749	+	DUF3566 domain-containing protein	S	A0A0S2T0Z9	Op8
WA5_RS00080	WA5_RS00080	NC_020519.1	WA5_0014	15206	16243	-	YeiH family protein	P	Q6M8W7	Op9
WA5_RS00085	WA5_RS00085	NC_020519.1	WA5_0015	16314	17210	+	LysR family transcriptional regulator	K	Q8NUC3	Op10
WA5_RS00090	WA5_RS00090	NC_020519.1	WA5_0016	17260	17673	+	SMI1/KNR4 family protein	X		Op11
WA5_RS00095	WA5_RS00095	NC_020519.1	WA5_0017	17857	18729	-	cytochrome c biogenesis CcdA family protein	O	A0A7I8APN5	Op12
WA5_RS00100	WA5_RS00100	NC_020519.1	WA5_0018	18733	19479	-	DsbA family protein	O		Op12
WA5_RS00105	WA5_RS00105	NC_020519.1	WA5_0019	19705	20076	+	BlaI/MecI/CopY family transcriptional regulator	K	Q8NUB9	Op13
WA5_RS00110	WA5_RS00110	NC_020519.1	WA5_0020	20073	21068	+	M56 family metallopeptidase	O	Q8NUB8	Op13
WA5_RS15930	WA5_RS15930	NC_020519.1		21071	21241	-	hypothetical protein	S		Op14
WA5_RS00115	WA5_RS00115	NC_020519.1	WA5_0021	21564	22127	+	metallophosphoesterase	F		Op15
WA5_RS00120	WA5_RS00120	NC_020519.1	WA5_0022	22164	23402	+	5'-nucleotidase C-terminal domain-containing protein	F	Q8NUB6	Op15
WA5_RS16110	WA5_RS16110	NC_020519.1		23612	23779	-	hypothetical protein	L		Op16
WA5_RS00140	WA5_RS00140	NC_020519.1	WA5_0023	24295	24732	+	organic hydroperoxide resistance protein	O	Q8NUB5	Op17
WA5_RS00145	WA5_RS00145	NC_020519.1	WA5_0024	24882	26573	-	putative DNA binding domain-containing protein	K	A0A1Q3DLC5	Op18
WA5_RS00150	WA5_RS00150	NC_020519.1	WA5_0025	26819	28099	-	zinc metallochaperone AztD	S	Q8NUB3	Op19
WA5_RS00155	WA5_RS00155	NC_020519.1	WA5_0026	28161	29117	-	metal ABC transporter substrate-binding protein	P	Q8NUB2	Op20
WA5_RS00160	WA5_RS00160	NC_020519.1	WA5_0027	29114	29965	-	zinc ABC transporter permease AztB	P	Q8NUB1	Op20
WA5_RS00165	WA5_RS00165	NC_020519.1	WA5_0028	29995	30654	+	zinc ABC transporter ATP-binding protein AztA	P	Q8NUB0	Op21
WA5_RS00170	WA5_RS00170	NC_020519.1	WA5_0029	30697	31680	+	substrate-binding domain-containing protein	G		Op22
WA5_RS00175	WA5_RS00175	NC_020519.1	WA5_0030	31677	32702	+	ABC transporter permease	G	R0HV04	Op22
WA5_RS00180	WA5_RS00180	NC_020519.1	WA5_0031	32699	33460	+	ATP-binding cassette domain-containing protein	G	Q8NUA7	Op22
WA5_RS00185	WA5_RS00185	NC_020519.1	WA5_0032	33462	34274	-	hypothetical protein	-		Op23
WA5_RS00190	WA5_RS00190	NC_020519.1	WA5_0033	34366	34902	+	peptidylprolyl isomerase	O		Op24
WA5_RS00195	WA5_RS00195	NC_020519.1	WA5_0034	35012	35671	+	rhomboid family intramembrane serine protease	S		Op25
WA5_RS00200	WA5_RS00200	NC_020519.1	WA5_0035	36244	37014	-	helix-turn-helix domain-containing protein	K		Op26
WA5_RS16395	WA5_RS16395	NC_020519.1		37051	37242	-	AraC family transcriptional regulator	X		Op27
WA5_RS00205	WA5_RS00205	NC_020519.1	WA5_0036	37245	38201	+	iron chelate uptake ABC transporter family permease subunit	P		Op28
WA5_RS00210	WA5_RS00210	NC_020519.1	WA5_0037	38202	38981	+	ABC transporter ATP-binding protein	H	Q8NUA1	Op28
WA5_RS00215	WA5_RS00215	NC_020519.1	WA5_0038	38978	39802	+	siderophore-interacting protein	P		Op28
WA5_RS00220	crgA	NC_020519.1	WA5_0039	40186	40458	-	cell division protein CrgA	D	Q8NU99	Op29
WA5_RS00225	pknB	NC_020519.1	WA5_0040	40573	42513	-	Stk1 family PASTA domain-containing Ser/Thr kinase	K		Op30
WA5_RS00230	WA5_RS00230	NC_020519.1	WA5_0041	42510	43919	-	serine/threonine protein kinase	K	Q8NU97	Op30
WA5_RS00235	WA5_RS00235	NC_020519.1	WA5_0042	43923	45347	-	penicillin-binding protein 2	M		Op30
WA5_RS00240	WA5_RS00240	NC_020519.1	WA5_0043	45344	46669	-	FtsW/RodA/SpoVE family cell cycle protein	D		Op30
WA5_RS00245	WA5_RS00245	NC_020519.1	WA5_0044	46666	48021	-	protein phosphatase 2C domain-containing protein	T	A0A1Q3DLF4	Op30
WA5_RS00250	WA5_RS00250	NC_020519.1	WA5_0045	48021	48485	-	FHA domain-containing protein	T	Q8NU93	Op30
WA5_RS00255	WA5_RS00255	NC_020519.1	WA5_0046	48502	49398	-	DUF3662 and FHA domain-containing protein	T		Op30
WA5_RS16400	WA5_RS16400	NC_020519.1	WA5_0047	49894	50616	-	hypothetical protein	-		Op31
WA5_RS00275	WA5_RS00275	NC_020519.1	WA5_0048	50963	51436	-	hypothetical protein	-	Q8NU90	Op32
WA5_RS00280	WA5_RS00280	NC_020519.1	WA5_0049	51623	53095	-	NAD-dependent succinate-semialdehyde dehydrogenase	C	Q8NU89	Op33
WA5_RS00285	WA5_RS00285	NC_020519.1	WA5_0050	53094	54011	+	phenol 2-monooxygenase	C		Op34
WA5_RS00290	WA5_RS00290	NC_020519.1	WA5_0051	54179	55549	+	rhodanese-like domain-containing protein	P		Op35
WA5_RS00295	WA5_RS00295	NC_020519.1	WA5_0052	55626	56372	-	sulfite exporter TauE/SafE family protein	S		Op36
WA5_RS00300	WA5_RS00300	NC_020519.1	WA5_0053	56383	56676	-	rhodanese-like domain-containing protein	P	A0A172QQ49	Op36
WA5_RS00305	WA5_RS00305	NC_020519.1	WA5_0054	56677	57270	-	rhodanese-like domain-containing protein	P	Q8NU84	Op36
WA5_RS00310	WA5_RS00310	NC_020519.1	WA5_0055	57397	57654	+	metal-sensitive transcriptional regulator	S	A0A172QQ62	Op37
WA5_RS00315	WA5_RS00315	NC_020519.1	WA5_0056	58087	58944	+	hypothetical protein	-	Q8NU82	Op38
WA5_RS00320	WA5_RS00320	NC_020519.1	WA5_0057	59103	59933	+	polyphosphate polymerase domain-containing protein	P		Op39
WA5_RS00325	WA5_RS00325	NC_020519.1	WA5_0058	59952	60665	+	DUF4956 domain-containing protein	S	R0JMK4	Op39
WA5_RS00330	WA5_RS00330	NC_020519.1	WA5_0059	60699	62324	+	CotH kinase family protein	M		Op39
WA5_RS00335	WA5_RS00335	NC_020519.1	WA5_0060	62387	63508	-	magnesium and cobalt transport protein CorA	P		Op40
WA5_RS00340	WA5_RS00340	NC_020519.1	WA5_0061	63591	64040	-	tautomerase family protein	S	R0HUX4	Op41
WA5_RS00345	WA5_RS00345	NC_020519.1	WA5_0062	64190	65461	+	chloride channel protein	P		Op42
WA5_RS00350	pnuC	NC_020519.1	WA5_0063	65505	66197	-	nicotinamide riboside transporter PnuC	H	A0A7I8AQF7	Op43
WA5_RS00355	WA5_RS00355	NC_020519.1	WA5_0064	66599	67975	+	PhoH family protein	T		Op44
WA5_RS00360	WA5_RS00360	NC_020519.1	WA5_0065	68248	68634	-	hypothetical protein	X	Q8NU73	Op45
WA5_RS00365	WA5_RS00365	NC_020519.1	WA5_0066	68717	70297	-	CitMHS family transporter	C		Op46
WA5_RS00370	WA5_RS00370	NC_020519.1	WA5_0067	70506	72161	+	sensor histidine kinase	T	Q8NU71	Op47
WA5_RS00375	WA5_RS00375	NC_020519.1	WA5_0068	72161	72817	+	response regulator	K	R0JNF8	Op47
WA5_RS00380	WA5_RS00380	NC_020519.1	WA5_0069	72814	73728	-	D-isomer specific 2-hydroxyacid dehydrogenase family protein	E		Op48
WA5_RS00385	WA5_RS00385	NC_020519.1	WA5_0070	73844	74275	+	hypothetical protein	-	Q8NU68	Op49
WA5_RS00390	bioB	NC_020519.1	WA5_0071	74490	75494	+	biotin synthase BioB	H	A0A1B4WH23	Op50
WA5_RS00395	WA5_RS00395	NC_020519.1	WA5_0072	75506	75745	+	hypothetical protein	-	A0A0S2T0R2	Op50
WA5_RS00400	WA5_RS00400	NC_020519.1	WA5_0073	75697	76038	+	CHY zinc finger protein	S	Q8NU66	Op50
WA5_RS00420	WA5_RS00420	NC_020519.1	WA5_0074	82117	83568	-	MFS transporter	E	Q8NU65	Op51
WA5_RS00425	WA5_RS00425	NC_020519.1	WA5_0075	83688	84935	-	amidohydrolase family protein	F	Q8NU64	Op52
WA5_RS00430	WA5_RS00430	NC_020519.1	WA5_0076	85095	85319	-	hypothetical protein	X		Op53
WA5_RS00435	WA5_RS00435	NC_020519.1	WA5_0077	85660	86220	-	hypothetical protein	-		Op54
WA5_RS00440	WA5_RS00440	NC_020519.1	WA5_0078	86477	87244	+	NAD-dependent protein deacetylase	K		Op55
WA5_RS00445	WA5_RS00445	NC_020519.1	WA5_0079	87558	88532	-	triacylglycerol lipase	S	A0A7I8APX0	Op56
WA5_RS00450	WA5_RS00450	NC_020519.1	WA5_0080	88542	89444	-	triacylglycerol lipase	S	Q8NU59	Op56
WA5_RS00455	WA5_RS00455	NC_020519.1	WA5_0081	89615	90448	+	hypothetical protein	J		Op57
WA5_RS00460	WA5_RS00460	NC_020519.1	WA5_0082	90458	90973	-	MarR family winged helix-turn-helix transcriptional regulator	K	Q8NU57	Op58
WA5_RS00465	WA5_RS00465	NC_020519.1	WA5_0083	91174	91476	+	urease subunit gamma	E	R0HXR1	Op59
