## Mon Oct 24 05:02:52 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2ldfeeem --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2ldfeeem --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_2ldfeeem/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WA5_RS00005	196627.cg0001	0.0	998.0	COG0593@1|root,COG0593@2|Bacteria,2GJKI@201174|Actinobacteria,22K26@1653|Corynebacteriaceae	201174|Actinobacteria	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006172,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009133,GO:0009135,GO:0009136,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009179,GO:0009180,GO:0009185,GO:0009188,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016311,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030312,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046031,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090304,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C
WA5_RS00010	196627.cg0004	5.28e-282	771.0	COG0592@1|root,COG0592@2|Bacteria,2GJK3@201174|Actinobacteria,22KHP@1653|Corynebacteriaceae	201174|Actinobacteria	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria	dnaN	GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944	2.7.7.7	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3
WA5_RS00015	196627.cg0005	2.06e-279	764.0	COG1195@1|root,COG1195@2|Bacteria,2GJCS@201174|Actinobacteria,22K5B@1653|Corynebacteriaceae	201174|Actinobacteria	L	it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP	recF	GO:0000731,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0018130,GO:0019438,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0071944,GO:0090304,GO:1901360,GO:1901362,GO:1901576	-	ko:K03629	ko03440,map03440	-	-	-	ko00000,ko00001,ko03400	-	-	-	SMC_N
WA5_RS00020	196627.cg0006	2.31e-127	362.0	COG5512@1|root,COG5512@2|Bacteria,2GNQ4@201174|Actinobacteria,22N7D@1653|Corynebacteriaceae	201174|Actinobacteria	S	Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	-	-	-	-	-	-	-	-	-	-	-	-	DUF721
WA5_RS00025	196627.cg0007	0.0	1348.0	COG0187@1|root,COG0187@2|Bacteria,2GKGP@201174|Actinobacteria,22JZW@1653|Corynebacteriaceae	201174|Actinobacteria	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrB	GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005575,GO:0006139,GO:0006259,GO:0006265,GO:0006725,GO:0006807,GO:0006996,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0034335,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360	5.99.1.3	ko:K02470	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
WA5_RS00030	196627.cg0008	4.34e-216	597.0	COG4757@1|root,COG4757@2|Bacteria,2ICF8@201174|Actinobacteria,22M12@1653|Corynebacteriaceae	201174|Actinobacteria	S	Alpha beta hydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1,Hydrolase_4
WA5_RS00035	196627.cg0009	1.68e-132	377.0	COG2364@1|root,COG2364@2|Bacteria,2IADD@201174|Actinobacteria,22NJD@1653|Corynebacteriaceae	201174|Actinobacteria	S	Membrane	-	-	-	ko:K07149	-	-	-	-	ko00000	-	-	-	-
WA5_RS00040	196627.cg0010	1.94e-95	278.0	2E4IQ@1|root,32ZDS@2|Bacteria,2IQAA@201174|Actinobacteria,22RGX@1653|Corynebacteriaceae	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WA5_RS00045	196627.cg0012	6.6e-255	699.0	COG1846@1|root,COG1940@1|root,COG1846@2|Bacteria,COG1940@2|Bacteria,2I2MC@201174|Actinobacteria,22M4J@1653|Corynebacteriaceae	201174|Actinobacteria	K	Transcriptional regulator sugar kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
WA5_RS00050	196627.cg0013	7.82e-51	161.0	2AYBM@1|root,31QEA@2|Bacteria,2HA7Z@201174|Actinobacteria,22P60@1653|Corynebacteriaceae	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WA5_RS00055	196627.cg0014	3.47e-37	125.0	2ESIU@1|root,33K3I@2|Bacteria,2GX0D@201174|Actinobacteria,22P5I@1653|Corynebacteriaceae	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WA5_RS00060	196627.cg0015	0.0	1652.0	COG0188@1|root,COG0188@2|Bacteria,2GJ2Q@201174|Actinobacteria,22JI8@1653|Corynebacteriaceae	201174|Actinobacteria	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrA	GO:0000166,GO:0000287,GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006139,GO:0006259,GO:0006265,GO:0006725,GO:0006807,GO:0006996,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017076,GO:0017111,GO:0030312,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034335,GO:0034641,GO:0035639,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044464,GO:0046483,GO:0046872,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0071944,GO:0090304,GO:0097159,GO:0097367,GO:0140097,GO:1901265,GO:1901360,GO:1901363	5.99.1.3	ko:K02469	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseA_C,DNA_topoisoIV,Intein_splicing,LAGLIDADG_3
WA5_RS00065	196627.cg0016	2.35e-69	210.0	29W7N@1|root,30HSW@2|Bacteria,2I2MD@201174|Actinobacteria,22NXH@1653|Corynebacteriaceae	201174|Actinobacteria	S	Transmembrane domain of unknown function (DUF3566)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3566
WA5_RS00080	196627.cg0018	2.87e-227	628.0	COG2855@1|root,COG2855@2|Bacteria,2GS6E@201174|Actinobacteria,22MGR@1653|Corynebacteriaceae	201174|Actinobacteria	P	Conserved hypothetical protein 698	-	-	-	-	-	-	-	-	-	-	-	-	Cons_hypoth698
