Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
WA5_RS15250	WA5_RS15250	3245819	3246931	NADH:flavin oxidoreductase/NADH oxidase	WA5_RS15250	WA5_RS15250
WA5_RS05545	WA5_RS05545	1159266	1159574	hypothetical protein	WA5_RS05545 // WA5_RS05540 // folP // WA5_RS05530	WA5_RS05545 // WA5_RS05540 // folP // WA5_RS05530
WA5_RS01385	WA5_RS01385	279893	280282	low molecular weight phosphatase family protein	WA5_RS01385 // arsB	WA5_RS01385 // arsB
WA5_RS00755	WA5_RS00755	156144	156821	sugar O-acetyltransferase	WA5_RS00755	WA5_RS00755
WA5_RS04010	WA5_RS04010	845197	846099	ABC transporter permease	WA5_RS04020 // smpB // WA5_RS04010 // ftsE	WA5_RS04020 // smpB // WA5_RS04010 // ftsE
WA5_RS01985	WA5_RS01985	407406	407708	metal-sensitive transcriptional regulator	cadA // WA5_RS01985	cadA // WA5_RS01985
WA5_RS09975	WA5_RS09975	2115760	2116776	alpha/beta hydrolase	WA5_RS09975	WA5_RS09975
WA5_RS07270	WA5_RS07270	1533040	1533783	ABC transporter ATP-binding protein	WA5_RS07275 // WA5_RS07270	WA5_RS07275 // WA5_RS07270
WA5_RS10750	WA5_RS10750	2287966	2289510	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	WA5_RS10755 // WA5_RS10750 // WA5_RS10745 // WA5_RS10740 // WA5_RS10735 // murG // WA5_RS10725 // ftsQ // ftsZ // pgeF // WA5_RS10705	WA5_RS10755 // WA5_RS10750 // WA5_RS10745 // WA5_RS10740 // WA5_RS10735 // murG // WA5_RS10725 // ftsQ // ftsZ // pgeF // WA5_RS10705
WA5_RS10575	WA5_RS10575	2246386	2246895	hypothetical protein	WA5_RS10575	WA5_RS10575
WA5_RS12570	WA5_RS12570	2664060	2665400	nicotinate phosphoribosyltransferase	WA5_RS12570 // WA5_RS12565	WA5_RS12570 // WA5_RS12565
gyrB	WA5_RS00025	5435	7489	DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	WA5_RS00025
WA5_RS07275	WA5_RS07275	1533780	1534523	ABC transporter permease	WA5_RS07275 // WA5_RS07270	WA5_RS07275 // WA5_RS07270
WA5_RS14430	WA5_RS14430	3084421	3085095	hypothetical protein	WA5_RS14430 // WA5_RS14425	WA5_RS14430 // WA5_RS14425
WA5_RS05550	WA5_RS05550	1159634	1159801	DUF3117 domain-containing protein	WA5_RS05550	WA5_RS05550
smpB	WA5_RS04015	846136	846630	SsrA-binding protein SmpB	WA5_RS04020 // smpB // WA5_RS04010 // ftsE	WA5_RS04020 // smpB // WA5_RS04010 // ftsE
idi	WA5_RS11475	2441002	2441571	isopentenyl-diphosphate Delta-isomerase	WA5_RS11485 // WA5_RS11480 // idi	WA5_RS11485 // WA5_RS11480 // idi
WA5_RS10755	WA5_RS10755	2289520	2291085	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	WA5_RS10755 // WA5_RS10750 // WA5_RS10745 // WA5_RS10740 // WA5_RS10735 // murG // WA5_RS10725 // ftsQ // ftsZ // pgeF // WA5_RS10705	WA5_RS10755 // WA5_RS10750 // WA5_RS10745 // WA5_RS10740 // WA5_RS10735 // murG // WA5_RS10725 // ftsQ // ftsZ // pgeF // WA5_RS10705
WA5_RS15785	WA5_RS15785	1992534	1994120	LGFP repeat-containing protein	WA5_RS15785 // WA5_RS09400	WA5_RS15785 // WA5_RS09400
WA5_RS08235	WA5_RS08235	1751496	1752053	hypothetical protein	WA5_RS08235	WA5_RS08235
WA5_RS07840	WA5_RS07840	1658787	1661138	DEAD/DEAH box helicase family protein	WA5_RS07840	WA5_RS07840
WA5_RS12575	WA5_RS12575	2665860	2667857	ATP-dependent DNA helicase	WA5_RS12575	WA5_RS12575
WA5_RS07280	WA5_RS07280	1534525	1535406	MurR/RpiR family transcriptional regulator	WA5_RS07280	WA5_RS07280
WA5_RS00030	WA5_RS00030	7830	8798	alpha/beta fold hydrolase	WA5_RS00030	WA5_RS00030
WA5_RS02840	WA5_RS02840	575338	576354	DNA-directed RNA polymerase subunit alpha	WA5_RS02840	WA5_RS02840
WA5_RS00760	WA5_RS00760	156848	157540	alpha-ketoglutarate-dependent dioxygenase AlkB	WA5_RS00760	WA5_RS00760
WA5_RS01390	WA5_RS01390	280346	280666	Na+/H+ antiporter subunit G	WA5_RS01415 // WA5_RS01410 // WA5_RS01405 // WA5_RS16375 // WA5_RS16370 // WA5_RS01390	WA5_RS01415 // WA5_RS01410 // WA5_RS01405 // WA5_RS16375 // WA5_RS16370 // WA5_RS01390
WA5_RS14435	WA5_RS14435	3085261	3087051	NAD(P)/FAD-dependent oxidoreductase	WA5_RS14435	WA5_RS14435
WA5_RS05555	WA5_RS05555	1159864	1160730	methyltransferase domain-containing protein	WA5_RS05555	WA5_RS05555
WA5_RS04020	WA5_RS04020	846631	846984	DUF488 domain-containing protein	WA5_RS04020 // smpB // WA5_RS04010 // ftsE	WA5_RS04020 // smpB // WA5_RS04010 // ftsE
cadA	WA5_RS01990	407708	409975	cadmium-translocating P-type ATPase	cadA // WA5_RS01985	cadA // WA5_RS01985
mtr	WA5_RS09980	2116915	2118312	mycothione reductase	mtr	WA5_RS09980
phnE	WA5_RS07285	1535378	1536226	phosphonate ABC transporter, permease protein PhnE	WA5_RS07305 // phnD // phnC // phnE // phnE	WA5_RS07305 // phnD // phnC // phnE // phnE
WA5_RS10760	WA5_RS10760	2291209	2293164	penicillin-binding protein 2	WA5_RS10760	WA5_RS10760
WA5_RS03150	WA5_RS03150	640229	640879	lipocalin family protein	WA5_RS03150	WA5_RS03150
WA5_RS13580	WA5_RS13580	2884932	2886497	succinate-semialdehyde dehydrogenase (NADP(+))	WA5_RS13580	WA5_RS13580
WA5_RS12580	WA5_RS12580	2667867	2668760	hypothetical protein	WA5_RS12580	WA5_RS12580
WA5_RS08575	WA5_RS08575	1812214	1812693	dual specificity protein phosphatase family protein	WA5_RS08575	WA5_RS08575
WA5_RS04045	WA5_RS04045	850408	850998	vitamin K epoxide reductase family protein	WA5_RS04045	WA5_RS04045
WA5_RS08875	WA5_RS08875	1885229	1887049	zinc-ribbon domain-containing protein	WA5_RS08875	WA5_RS08875
WA5_RS00035	WA5_RS00035	8795	9376	hypothetical protein	WA5_RS00035	WA5_RS00035
phnE	WA5_RS07290	1536223	1537029	phosphonate ABC transporter, permease protein PhnE	WA5_RS07305 // phnD // phnC // phnE // phnE	WA5_RS07305 // phnD // phnC // phnE // phnE
rplQ	WA5_RS02845	576410	576901	50S ribosomal protein L17	rplQ	WA5_RS02845
WA5_RS00260	WA5_RS00260	49705	49791	tRNA-Leu	WA5_RS00260	WA5_RS00260
glf	WA5_RS14440	3087098	3088303	UDP-galactopyranose mutase	glf	WA5_RS14440
WA5_RS05560	WA5_RS05560	1160734	1162230	glycoside hydrolase family 32 protein	WA5_RS05560	WA5_RS05560
phnC	WA5_RS07295	1537026	1537832	phosphonate ABC transporter ATP-binding protein	WA5_RS07305 // phnD // phnC // phnE // phnE	WA5_RS07305 // phnD // phnC // phnE // phnE
WA5_RS10765	WA5_RS10765	2293320	2293916	hypothetical protein	WA5_RS10765	WA5_RS10765
WA5_RS09620	WA5_RS09620	2037814	2038593	DeoR/GlpR transcriptional regulator	WA5_RS09625 // WA5_RS09620	WA5_RS09625 // WA5_RS09620
WA5_RS08240	WA5_RS08240	1752254	1752529	hypothetical protein	WA5_RS08240	WA5_RS08240
WA5_RS07845	WA5_RS07845	1661586	1662554	quinone oxidoreductase	WA5_RS07845	WA5_RS07845
WA5_RS12585	WA5_RS12585	2668836	2669384	hypothetical protein	WA5_RS12585	WA5_RS12585
WA5_RS00040	WA5_RS00040	9471	9914	hypothetical protein	WA5_RS00040	WA5_RS00040
phnD	WA5_RS07300	1537866	1538918	phosphate/phosphite/phosphonate ABC transporter substrate-binding protein	WA5_RS07305 // phnD // phnC // phnE // phnE	WA5_RS07305 // phnD // phnC // phnE // phnE
glgA	WA5_RS05565	1162375	1163547	glycogen synthase	glgA	WA5_RS05565
WA5_RS03175	WA5_RS03175	647590	648309	ABC transporter ATP-binding protein	WA5_RS03175 // WA5_RS03170	WA5_RS03175 // WA5_RS03170
WA5_RS16370	WA5_RS16370	280667	280939	cation:proton antiporter	WA5_RS01415 // WA5_RS01410 // WA5_RS01405 // WA5_RS16375 // WA5_RS16370 // WA5_RS01390	WA5_RS01415 // WA5_RS01410 // WA5_RS01405 // WA5_RS16375 // WA5_RS16370 // WA5_RS01390
WA5_RS14445	WA5_RS14445	3088589	3090667	N-acetylmuramoyl-L-alanine amidase	WA5_RS14445	WA5_RS14445
WA5_RS00765	WA5_RS00765	157584	158141	DNA-3-methyladenine glycosylase I	WA5_RS00785 // WA5_RS00780 // WA5_RS00775 // WA5_RS00770 // WA5_RS00765	WA5_RS00785 // WA5_RS00780 // WA5_RS00775 // WA5_RS00770 // WA5_RS00765
WA5_RS15640	WA5_RS15640	847726	848025	transposase	WA5_RS15640	WA5_RS15640
WA5_RS01995	WA5_RS01995	410024	410476	hypothetical protein	WA5_RS01995	WA5_RS01995
WA5_RS09985	WA5_RS09985	2118735	2119082	hypothetical protein	WA5_RS09985	WA5_RS09985
WA5_RS07305	WA5_RS07305	1538959	1539660	HAD family hydrolase	WA5_RS07305 // phnD // phnC // phnE // phnE	WA5_RS07305 // phnD // phnC // phnE // phnE
rsmH	WA5_RS10770	2294114	2295127	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	rsmH	WA5_RS10770
serB	WA5_RS12590	2669554	2670855	phosphoserine phosphatase SerB	nrdF // ctaD // serB	nrdF // ctaD // serB
WA5_RS00045	WA5_RS00045	10104	11171	ROK family protein	WA5_RS00045	WA5_RS00045
WA5_RS07310	WA5_RS07310	1539816	1542107	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiM // WA5_RS07310	thiM // WA5_RS07310
WA5_RS02855	WA5_RS02855	578033	580432	hypothetical protein	WA5_RS02855	WA5_RS02855
glpK	WA5_RS14450	3090757	3092286	glycerol kinase GlpK	glpK	WA5_RS14450
